0,Проксима Центавра b,M5.5 Ve
1,Глизе 163 c,M
2,Глизе 581 c,M3V
3,Глизе 581 d,M3V
4,Глизе 581 g,M3V
5,HD 40307 g,"К2,5V"
6,Глизе 667 C с[2],M1V
7,Глизе 667 C e[3],M1V
8,Глизе 667 C f[3],M1V
9,HD 85512 b[4],K5V
10,Kepler-22 b[5],G5V
11,Kepler-61 b,K
12,Kepler-62 e,K2V
13,Kepler-62 f,K2V
14,Kepler-186 f,M1V
15,Тау Кита е,G8.5V
16,Каптейн b,M1V
17,Каптейн с,M1V
18,Глизе 832 c,M1.5V
19,Грумбридж 34 А b (Gl 15 A b),M1.5V
20,Глизе 422 b,M3.5V
21,Kepler-441 b,-
22,Kepler-438 b,M1.5V
23,Kepler-440 b,K
24,Kepler-442 b,K
25,Kepler-296 e,K
26,Kepler-296 f,K
27,Kepler-452 b,G2
28,Wolf 1061 c,M3.5VC
29,TRAPPIST-1 d,M8 V
30,TRAPPIST-1 e,M8 V
31,TRAPPIST-1 f,M8 V
32,TRAPPIST-1 h,M8 V
33,Росс_128_b,M4 V
34,K2-18_b,"M2,5V"
35,TOI-700_d,М2V
36,Kepler-160 d,
